-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  28.3949   Longitude 84.124 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3516.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,1981,2.62,2.69,3.6,4.33,6.9,8.61,11.6,11.6,9.77,6.1,3.54,2.2,6.16
QV2M,1982,2.44,2.81,3.6,4.76,5.74,8.73,10.8,11.29,9.28,6.16,3.66,2.26,5.98
QV2M,1983,1.95,1.95,2.75,3.97,6.23,7.26,10.93,11.23,9.95,6.29,2.99,1.83,5.62
QV2M,1984,1.65,1.83,2.62,3.78,5.49,10.25,10.99,11.05,9.28,6.29,3.17,2.56,5.74
QV2M,1985,2.32,1.89,2.69,3.85,5.0,8.42,10.74,11.23,9.7,6.96,3.97,2.81,5.8
QV2M,1986,1.83,2.44,2.87,3.91,4.64,8.36,10.99,10.62,8.91,5.31,2.5,2.01,5.37
QV2M,1987,1.77,2.32,3.11,3.36,4.82,7.08,11.05,11.23,9.95,5.49,3.05,2.32,5.49
QV2M,1988,2.14,2.56,3.17,3.72,5.62,8.97,11.6,11.35,10.07,5.98,3.23,2.62,5.92
QV2M,1989,1.89,2.14,2.81,2.75,5.62,9.52,11.17,10.99,10.19,5.62,2.75,1.89,5.62
QV2M,1990,1.77,2.87,2.99,3.36,6.77,9.09,11.41,11.05,10.19,6.41,3.42,2.38,5.98
QV2M,1991,2.08,2.44,2.87,3.05,4.64,9.46,11.41,11.29,9.89,5.43,2.62,2.2,5.62
QV2M,1992,2.08,2.01,2.69,2.99,4.88,8.06,10.19,10.99,9.77,6.29,3.48,2.14,5.49
QV2M,1993,2.2,2.2,2.62,3.97,5.43,8.97,11.29,11.29,9.58,5.37,2.99,1.59,5.62
QV2M,1994,2.14,2.14,2.56,3.23,5.43,9.09,11.29,11.11,9.46,5.19,3.11,1.77,5.55
QV2M,1995,1.71,2.26,2.81,3.17,5.37,9.52,11.29,10.99,9.89,5.98,2.69,2.32,5.68
QV2M,1996,2.01,2.44,3.54,3.6,5.0,9.64,11.17,10.93,9.7,6.59,2.87,1.46,5.74
QV2M,1997,1.65,1.83,2.75,4.15,4.39,8.42,11.29,10.86,9.4,5.07,3.3,2.08,5.43
QV2M,1998,1.59,2.38,2.81,3.78,6.16,8.85,11.66,11.66,10.31,7.51,3.6,1.71,6.04
QV2M,1999,1.65,2.26,1.83,2.01,6.47,8.91,11.11,10.93,10.07,5.62,2.75,1.95,5.49
QV2M,2000,1.77,1.83,2.08,2.99,7.51,10.19,11.23,11.29,9.52,6.29,3.72,1.89,5.86
QV2M,2001,1.65,1.95,2.44,3.85,7.32,10.25,11.29,11.6,9.58,6.59,3.23,1.89,5.98
QV2M,2002,2.01,2.2,3.05,3.97,6.47,9.58,10.56,10.99,8.54,5.62,2.87,1.83,5.68
QV2M,2003,1.59,2.38,3.3,3.91,4.76,8.73,11.29,11.47,10.19,5.13,3.05,2.01,5.68
QV2M,2004,2.2,2.01,2.75,4.82,6.71,10.19,11.41,11.54,10.38,6.23,3.85,2.93,6.29
QV2M,2005,2.62,2.99,3.97,3.85,5.43,8.24,11.66,11.9,9.89,5.86,3.17,2.2,5.98
QV2M,2006,2.14,3.05,3.11,4.27,8.3,10.07,12.21,11.23,10.13,6.59,3.97,2.87,6.53
QV2M,2007,2.01,2.93,3.42,5.19,7.32,10.13,11.72,11.54,10.38,6.41,4.09,2.32,6.47
QV2M,2008,2.38,2.26,3.11,4.09,6.9,10.99,11.66,11.47,9.4,6.71,4.15,3.3,6.41
QV2M,2009,2.5,2.32,3.11,3.85,6.84,8.54,11.9,11.6,9.89,5.92,3.66,2.62,6.1
QV2M,2010,2.01,2.44,3.3,4.09,6.47,8.97,11.66,11.6,10.31,6.9,4.76,2.26,6.29
QV2M,2011,2.2,2.62,3.3,4.64,7.57,9.77,11.78,11.29,10.25,6.96,4.64,2.5,6.47
QV2M,2012,2.26,2.69,2.87,4.88,5.25,8.48,11.84,11.35,9.95,5.62,3.36,2.38,5.92
QV2M,2013,1.95,2.81,3.78,5.13,6.29,10.8,12.02,11.29,9.83,7.57,3.78,3.11,6.53
QV2M,2014,2.69,3.05,4.09,4.76,6.71,9.77,11.9,11.84,10.5,6.47,4.21,2.56,6.59
QV2M,2015,2.62,3.42,4.33,5.92,6.84,9.4,11.84,11.96,10.44,6.71,4.64,3.05,6.77
QV2M,2016,2.62,2.93,3.91,4.58,7.51,11.05,12.15,11.41,11.05,7.45,3.91,3.17,6.84
QV2M,2017,2.56,3.05,3.72,5.31,7.93,10.25,11.84,11.9,11.29,8.0,4.64,3.05,7.02
QV2M,2018,2.26,3.05,3.6,5.8,7.63,11.11,12.27,11.84,10.62,5.98,4.27,2.75,6.77
QV2M,2019,2.69,3.11,3.72,5.8,6.53,9.95,12.15,11.96,10.62,7.45,4.58,2.75,6.77
QV2M,2020,2.87,3.05,4.46,5.8,7.57,10.99,12.33,11.78,11.11,7.2,4.15,3.05,7.02
QV2M,2021,2.56,2.93,3.54,3.91,7.57,10.93,12.45,12.15,10.74,8.18,4.58,3.17,6.9
QV2M,2022,3.05,3.17,4.82,5.62,8.42,10.31,12.02,11.84,10.68,6.77,4.64,2.93,7.02
RH2M,1981,69.38,57.94,63.75,55.88,71.19,71.75,88.75,91.19,88.88,73.62,62.0,48.12,70.31
RH2M,1982,56.81,71.31,67.31,64.0,62.25,74.06,83.5,88.31,85.62,80.25,61.25,45.31,70.0
RH2M,1983,50.38,49.81,49.19,57.88,67.25,64.31,82.44,86.31,86.38,73.81,53.19,41.81,63.62
RH2M,1984,42.81,42.56,39.75,47.75,51.19,79.81,87.81,87.19,87.62,73.5,59.56,49.75,62.5
RH2M,1985,65.75,42.19,39.88,46.5,52.19,70.25,86.5,87.38,88.31,81.5,66.12,53.0,65.12
RH2M,1986,42.31,54.62,52.19,53.06,52.5,67.12,86.31,85.75,82.69,68.56,42.44,48.56,61.38
RH2M,1987,41.69,50.81,54.75,43.56,53.0,58.75,82.19,87.94,86.69,72.81,46.81,39.31,59.94
RH2M,1988,43.88,50.69,54.25,44.31,55.88,73.12,89.5,89.44,86.62,72.19,55.5,51.06,63.94
RH2M,1989,47.69,51.88,49.0,36.31,53.0,78.38,85.75,89.38,87.62,67.94,51.44,41.69,61.75
RH2M,1990,31.31,64.12,58.5,46.38,64.94,69.69,87.38,88.5,88.38,78.81,54.75,47.38,65.0
RH2M,1991,53.06,51.31,48.38,40.94,46.19,76.38,84.31,87.88,86.62,68.31,48.31,49.19,61.81
RH2M,1992,45.69,50.25,41.44,36.5,53.44,68.25,82.69,88.12,86.31,77.69,58.44,45.19,61.19
RH2M,1993,52.94,42.75,51.62,52.44,55.81,74.56,84.12,87.0,87.5,64.31,47.69,29.62,60.94
RH2M,1994,46.88,50.62,40.75,45.0,54.0,69.31,83.81,86.19,81.88,66.38,58.56,39.44,60.25
RH2M,1995,48.69,53.44,49.31,40.94,50.19,75.38,85.44,87.19,85.5,68.25,45.56,49.12,61.62
RH2M,1996,49.69,52.69,55.88,45.5,51.81,79.56,86.75,88.81,86.69,79.38,46.0,27.81,62.56
RH2M,1997,42.19,47.69,47.38,60.94,49.31,70.88,83.75,83.81,82.56,71.81,58.44,45.5,62.06
RH2M,1998,37.12,51.0,50.81,46.88,58.44,66.69,84.75,89.12,86.12,79.0,53.12,33.06,61.38
RH2M,1999,39.75,41.94,29.0,23.06,63.0,71.62,82.75,85.31,86.25,67.0,43.56,39.38,56.19
RH2M,2000,43.75,49.31,40.88,36.31,68.75,81.69,86.25,88.25,86.25,71.69,60.69,34.81,62.44
RH2M,2001,35.44,40.75,43.56,50.62,70.75,80.75,83.06,87.94,85.06,76.12,49.62,38.12,61.94
RH2M,2002,50.12,46.5,51.56,49.5,62.38,77.38,80.44,85.81,80.62,70.5,46.75,37.06,61.62
RH2M,2003,33.62,56.81,57.69,47.69,52.31,71.12,85.25,86.12,86.06,61.56,47.81,42.56,60.75
RH2M,2004,52.0,41.88,38.75,57.88,66.62,85.5,90.56,89.44,88.81,78.44,68.12,53.31,67.69
RH2M,2005,64.81,68.5,64.44,52.0,61.0,67.56,88.62,90.75,85.38,75.06,56.31,44.06,68.25
RH2M,2006,40.75,49.56,56.12,57.44,77.06,85.5,88.81,88.5,88.0,78.56,66.06,53.75,69.25
RH2M,2007,40.69,72.06,64.5,60.5,72.19,81.81,89.31,89.75,89.31,73.06,62.25,43.56,69.88
RH2M,2008,57.69,52.25,54.06,54.06,72.25,87.94,90.12,91.44,85.94,78.12,57.25,54.62,69.75
RH2M,2009,47.0,44.06,52.12,47.06,70.69,72.0,87.56,89.75,86.0,71.56,58.94,51.56,65.0
RH2M,2010,41.31,53.31,49.69,45.06,63.0,71.62,87.12,90.5,90.5,77.38,65.5,47.88,65.31
RH2M,2011,53.75,55.62,55.62,62.31,73.69,80.56,90.69,90.12,88.31,79.12,68.25,45.12,70.31
RH2M,2012,63.75,59.75,50.69,64.31,54.62,67.94,88.31,88.0,86.75,71.31,56.5,45.25,66.44
RH2M,2013,48.44,64.5,63.62,67.12,63.06,86.69,90.81,89.94,87.44,83.38,58.62,61.69,72.12
RH2M,2014,59.69,66.38,71.62,63.25,69.25,78.88,90.5,91.62,91.31,80.25,61.75,48.75,72.81
RH2M,2015,66.69,71.12,76.62,81.75,71.88,80.5,89.88,93.0,88.94,79.19,69.12,62.56,77.62
RH2M,2016,61.88,55.94,63.5,53.12,76.81,89.56,93.81,89.31,92.31,82.38,56.12,50.31,72.19
RH2M,2017,60.12,55.38,68.31,70.12,83.0,86.31,90.81,93.06,92.31,84.19,70.94,50.25,75.5
RH2M,2018,45.31,60.0,61.5,76.12,79.25,90.12,93.06,92.25,88.25,77.75,69.44,60.31,74.5
RH2M,2019,69.38,74.06,71.44,74.44,70.56,84.31,92.38,90.06,91.69,83.0,62.25,62.81,77.19
RH2M,2020,76.38,70.0,81.62,82.5,83.38,90.94,94.19,89.0,89.38,74.94,67.25,55.31,79.56
RH2M,2021,48.56,59.38,59.38,54.56,80.25,88.88,93.0,93.69,90.94,83.94,66.06,64.75,73.69
