-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Latitude  28.3949   Longitude 84.124 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3516.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
CLRSKY_KT               CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_KT,2021,0.62,0.55,0.57,0.58,0.4,0.39,0.36,0.38,0.46,0.55,0.65,0.55,0.48
ALLSKY_KT,2022,0.48,0.51,0.61,0.56,0.43,0.43,0.44,0.46,0.42,0.55,0.63,0.68,0.51
CLOUD_AMT,2021,45.57,52.16,51.94,50.01,73.36,78.15,88.83,89.17,79.66,54.18,48.99,54.87,64.0
CLOUD_AMT,2022,62.49,57.95,49.89,51.8,69.51,81.91,81.48,77.05,77.55,54.55,37.47,34.84,61.4
CLRSKY_KT,2021,0.73,0.72,0.75,0.77,0.72,0.73,0.71,0.71,0.74,0.73,0.74,0.72,0.73
CLRSKY_KT,2022,0.71,0.75,0.76,0.73,0.7,0.68,0.73,0.74,0.71,0.75,0.71,0.75,0.73
TOA_SW_DWN,2021,6.18,7.45,8.99,10.3,11.07,11.33,11.15,10.51,9.38,7.89,6.48,5.77,8.88
TOA_SW_DWN,2022,6.18,7.44,8.98,10.3,11.07,11.34,11.15,10.51,9.39,7.91,6.49,5.77,8.88
ALLSKY_SFC_UVA,2021,8.95,9.77,13.02,15.05,11.84,12.45,11.77,11.55,12.58,11.41,10.04,7.51,11.33
ALLSKY_SFC_UVA,2022,7.49,9.79,14.03,14.4,12.18,12.62,14.28,14.03,11.19,11.5,9.5,8.99,11.68
ALLSKY_SFC_UVB,2021,0.2,0.2,0.34,0.42,0.35,0.38,0.37,0.37,0.38,0.31,0.23,0.15,0.3
ALLSKY_SFC_UVB,2022,0.15,0.21,0.36,0.4,0.37,0.38,0.45,0.45,0.34,0.3,0.22,0.18,0.32
ALLSKY_SRF_ALB,2021,0.14,0.15,0.17,0.17,0.18,0.2,0.19,0.2,0.19,0.16,0.16,0.17,0.17
ALLSKY_SRF_ALB,2022,0.2,0.21,0.17,0.17,0.15,0.17,0.18,0.18,0.16,0.19,0.12,0.14,0.17
